prob,N,vPOC,vSUR,vSTO,instance,statusPOC,statusSTO,timePOC,noIterPOC,timeSUR,objPOC,objSUR,objSTO,nswPOC,nswSUR,nswSTO,timeSTO,noIterSTO,wi
calcium,2,1,0,1,159,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,160,success,TimeLimit,337.92185,161,,1959.284,,,0.015876421,,,,,"['0.8873323932449472', ' 0.9032088141106737']"
calcium,2,1,0,1,161,success,TimeLimit,3005.9173,334,,1959.284,,,0.015876421,,,,,"['0.8873323932449401', ' 0.9032088141106682']"
calcium,2,1,0,1,162,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,163,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,164,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,165,success,TimeLimit,1231.5995,742,,1959.284,,,0.015876421,,,,,"['0.8873323932449426', ' 0.9032088141106720']"
calcium,2,1,0,1,166,success,TimeLimit,477.95743,281,,1959.284,,,0.015876421,,,,,"['0.8873323932449559', ' 0.9032088141106808']"
calcium,2,1,0,1,167,success,TimeLimit,904.30131,473,,1959.284,,,0.015876421,,,,,"['0.8873323932449488', ' 0.9032088141106835']"
calcium,2,1,0,1,168,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,169,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,170,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,171,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,172,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,173,success,TimeLimit,463.89258,288,,1959.284,,,0.015876421,,,,,"['0.8873323932449446', ' 0.9032088141106740']"
calcium,2,1,0,1,174,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,175,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,176,success,TimeLimit,183.83661,107,,1959.284,,,0.015876421,,,,,"['0.8873323932449629', ' 0.9032088141106843']"
calcium,2,1,0,1,177,success,TimeLimit,532.42851,293,,1959.284,,,0.015876421,,,,,"['0.8873323932449556', ' 0.9032088141106878']"
calcium,2,1,0,1,178,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,179,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,180,success,TimeLimit,377.84719,149,,1959.284,,,0.015876421,,,,,"['0.8873323932449549', ' 0.9032088141106807']"
calcium,2,1,0,1,181,success,TimeLimit,682.66622,391,,1959.284,,,0.015876421,,,,,"['0.8873323932449535', ' 0.9032088141106878']"
calcium,2,1,0,1,182,success,TimeLimit,627.8614,387,,1959.284,,,0.015876421,,,,,"['0.8873323932449488', ' 0.9032088141106942']"
calcium,2,1,0,1,183,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,184,success,TimeLimit,1669.0773,859,,1959.284,,,0.015876421,,,,,"['0.8873323932449635', ' 0.9032088141106960']"
calcium,2,1,0,1,185,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,186,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,187,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,188,success,TimeLimit,851.93061,492,,1959.284,,,0.015876421,,,,,"['0.8873323932449501', ' 0.9032088141106773']"
calcium,2,1,0,1,189,success,TimeLimit,2103.0247,1352,,1959.284,,,0.015876421,,,,,"['0.8873323932449415', ' 0.9032088141106631']"
calcium,2,1,0,1,190,success,TimeLimit,482.18176,277,,1959.284,,,0.015876421,,,,,"['0.8873323932449321', ' 0.9032088141106646']"
calcium,2,1,0,1,191,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,192,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,193,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,194,success,TimeLimit,991.17299,620,,1959.284,,,0.015876421,,,,,"['0.8873323932449457', ' 0.9032088141106727']"
calcium,2,1,0,1,195,success,TimeLimit,713.26688,445,,1959.284,,,0.015876421,,,,,"['0.8873323932449531', ' 0.9032088141106850']"
calcium,2,1,0,1,196,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,197,Maxiter,MaxiterPOC,,,,,,,,,,,,
calcium,2,1,0,1,198,success,TimeLimit,207.54648,125,,1959.284,,,0.015876421,,,,,"['0.8873323932449495', ' 0.9032088141106783']"
calcium,2,1,0,1,199,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,1,200,success,TimeLimit,640.55706,374,,1959.284,,,0.015876421,,,,,"['0.8873323932449279', ' 0.9032088141106605']"
calcium,2,1,0,2,101,success,success,563.82414,236,,1959.284,,4412.6867,0.015876421,,1.0,1541.2380599999997,654,"['0.8873323932449425', ' 0.9032088141106672']"
calcium,2,1,0,2,102,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,103,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,104,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,105,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,106,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,107,Maxiter,MaxiterPOC,,,,,,,,,,,,
calcium,2,1,0,2,108,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,109,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,110,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,111,success,success,2029.9134,1008,,1959.284,,4412.6867,0.015876421,,1.0,1149.9328,477,"['0.8873323932449455', ' 0.9032088141106744']"
calcium,2,1,0,2,112,success,success,438.42555,260,,1959.284,,4412.6867,0.015876421,,1.0,1024.6601500000002,426,"['0.8873323932449589', ' 0.9032088141106919']"
calcium,2,1,0,2,113,success,success,573.22615,271,,1959.284,,4412.6867,0.015876421,,1.0,1547.5560500000001,629,"['0.8873323932449437', ' 0.9032088141106757']"
calcium,2,1,0,2,114,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,115,success,success,577.96844,340,,1959.284,,4412.6867,0.015876421,,1.0,1620.10106,697,"['0.8873323932449423', ' 0.9032088141106791']"
calcium,2,1,0,2,116,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,117,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,118,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,119,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,120,success,success,390.22892,171,,1959.284,,4412.6867,0.015876421,,1.0,1380.47918,601,"['0.8873323932449536', ' 0.9032088141106858']"
calcium,2,1,0,2,121,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,122,success,success,634.31204,366,,1959.284,,4412.6867,0.015876421,,1.0,1569.9499600000001,660,"['0.8873323932449486', ' 0.9032088141106788']"
calcium,2,1,0,2,123,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,124,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
calcium,2,1,0,2,125,TimeLimit,TimeLimitPOC,,,,,,,,,,,,
